policyID,county,hu_site_limit,fr_site_limit,tiv_2012,hu_site_deductible
204794,HAMILTON COUNTY,179562.23,0,147384.67,0,
806471,HAMILTON COUNTY,24914.26,0,33937.58,0,
591943,UNION COUNTY,407520,407520,652935.06,0,
743965,UNION COUNTY,123300,123300,117740.65,0,
219113,UNION COUNTY,181487.52,0,272492.62,0,
233559,COLUMBIA COUNTY,585000,585000,516026.16,0,
517674,COLUMBIA COUNTY,61027.56,0,66963.34,0,
143584,COLUMBIA COUNTY,874801.8,0,1488037.86,0,
986109,COLUMBIA COUNTY,67591.02,0,107281.96,0,
700895,COLUMBIA COUNTY,702820.8,702820.8,800541,0,
494610,COLUMBIA COUNTY,67892.48,0,51746.63,0,
512991,COLUMBIA COUNTY,102221.41,0,123969.01,0,
186262,COLUMBIA COUNTY,4542119.64,0,4765537.43,0,
784347,COLUMBIA COUNTY,921352.86,0,1031325.54,0,
306619,COLUMBIA COUNTY,108562.2,0,128945.84,0,
329255,COLUMBIA COUNTY,101204.64,0,159306.22,0,
633241,COLUMBIA COUNTY,22781.96,0,31753.49,0,
719075,COLUMBIA COUNTY,315302.29,0,370039.71,0,
232605,COLUMBIA COUNTY,180630.62,0,222258.75,0,
459878,COLUMBIA COUNTY,134464.05,0,189045.7,0,
202651,COLUMBIA COUNTY,2311064.6,0,2670204.04,0,
872719,COLUMBIA COUNTY,22356.54,0,22455.91,0,
519606,COLUMBIA COUNTY,16767.17,0,26327.41,0,
783767,COLUMBIA COUNTY,167668.04,0,255938.56,0,
424793,COLUMBIA COUNTY,16767.17,0,20170.81,0,
155199,COLUMBIA COUNTY,22356.54,0,27389.44,0,
757768,COLUMBIA COUNTY,16767.17,0,14548.41,0,
678864,COLUMBIA COUNTY,68970.43,0,96002.7,0,
631978,COLUMBIA COUNTY,25748.96,0,36460.53,0,
878374,COLUMBIA COUNTY,38623.44,0,60957.06,0,
288738,COLUMBIA COUNTY,9196.06,0,12297.35,0,
706890,COLUMBIA COUNTY,45980.29,0,63408.66,0,
747825,COLUMBIA COUNTY,27944.98,0,47665.19,0,
934739,COLUMBIA COUNTY,89423.38,0,126691.92,0,
956518,COLUMBIA COUNTY,12250.99,0,17567.13,0,
132904,COLUMBIA COUNTY,59774.37,0,50210.47,0,
388383,COLUMBIA COUNTY,11549.33,0,16277.72,0,
546756,BRADFORD COUNTY,42481.06,0,44399.5,0,
766573,MADISON COUNTY,132651,132651,220996.57,0,
166613,MADISON COUNTY,0,0,9630000,0,
842655,MADISON COUNTY,1222262.42,0,1186037.01,0,
976562,SUWANNEE COUNTY,305427.6,0,269112.26,0,
336697,SUWANNEE COUNTY,910695.68,0,847083.59,0,
858080,SUWANNEE COUNTY,7571.54,0,6481.05,0,
735184,SUWANNEE COUNTY,132894.53,0,153444.94,0,
373504,SUWANNEE COUNTY,113441.57,0,141507.02,0,
178535,SUWANNEE COUNTY,701414.94,0,951909.86,0,
606491,BAKER COUNTY,14670,14670,15491.3,0,
908170,BAKER COUNTY,1849.32,0,1987.47,0,
723719,BAKER COUNTY,211747.14,0,369024.45,0,
232316,BAKER COUNTY,2476576.8,0,2011109.14,0,
225577,BAKER COUNTY,17198.19,0,19900.03,0,
747464,BAKER COUNTY,796867.35,0,1238331.86,0,
510281,BAKER COUNTY,59097.75,0,72289.55,0,
621142,BAKER COUNTY,2790.13,0,3172.8,0,
963412,BAKER COUNTY,5324.12,0,3869.4,0,
177053,BAKER COUNTY,75825.74,0,118661.22,0,
399592,BAKER COUNTY,3210.02,0,2770.49,0,
671336,BAKER COUNTY,910.22,0,1329.26,0,
632104,BAKER COUNTY,9660.26,0,9621.62,0,
969519,BAKER COUNTY,11880.48,0,13693.44,0,
804466,BAKER COUNTY,48183.3,0,65695.04,0,
977912,BAKER COUNTY,4665.47,0,5262.65,0,
154572,BAKER COUNTY,19210.75,0,33549.65,0,
358433,BAKER COUNTY,631.21,0,659.24,0,
844614,BAKER COUNTY,101097.02,0,151485.4,0,
703956,BAKER COUNTY,403517.2,0,449453.6,0,
562722,BAKER COUNTY,45932.5,0,37800.06,0,
894562,BAKER COUNTY,45932.5,0,74512.99,0,
755818,BAKER COUNTY,45932.5,0,45436.16,0,
118899,BAKER COUNTY,45932.5,0,63744.12,0,
163526,BAKER COUNTY,45932.5,0,73699.25,0,
875706,BAKER COUNTY,126314.39,0,170615.37,0,
241888,BAKER COUNTY,292819.71,0,367252.14,0,
214979,BAKER COUNTY,172246.89,0,237377.74,0,
859735,BAKER COUNTY,28707.81,0,34173.78,0,
369631,BAKER COUNTY,10396.08,0,16937.5,0,
770857,SUWANNEE COUNTY,43459.02,0,61746.58,0,
102432,SUWANNEE COUNTY,63396,63396,94316.64,0,
945568,SUWANNEE COUNTY,244701,244701,196108.28,0,
395018,SUWANNEE COUNTY,677898,677898,807315.51,0,
812631,SUWANNEE COUNTY,2493,2493,2689.15,0,
139061,SUWANNEE COUNTY,19890,19890,24338.2,397.8,
391574,SUWANNEE COUNTY,2493,2493,4357.44,0,
998635,SUWANNEE COUNTY,18900000,18900000,21420000,0,
395835,SUWANNEE COUNTY,6649758,6649758,8312037.91,0,
865150,SUWANNEE COUNTY,2493,2493,3497.7,0,
529300,SUWANNEE COUNTY,198954,198954,237294.82,0,
441395,SUWANNEE COUNTY,11520,11520,10477.95,230.4,
950097,SUWANNEE COUNTY,3029976,3029976,3010396.29,0,
416938,SUWANNEE COUNTY,1172421,1172421,1712133.28,0,
863494,SUWANNEE COUNTY,1978974,1978974,2179396.57,0,
514370,SUWANNEE COUNTY,460881,460881,675946.51,0,
997019,SUWANNEE COUNTY,66132,66132,67076.89,0,
552357,SUWANNEE COUNTY,2493,2493,2354.26,0,
897773,SUWANNEE COUNTY,109431,109431,185671.03,0,
216408,SUWANNEE COUNTY,1178082,1178082,1429079.44,0,
206428,SUWANNEE COUNTY,91314,91314,122481.66,0,
919465,SUWANNEE COUNTY,28791,28791,25858.92,0,
825224,SUWANNEE COUNTY,885150,885150,942036.82,17703,
150387,SUWANNEE COUNTY,6903,6903,5514.88,0,
751897,SUWANNEE COUNTY,2264391,2264391,3313764.14,0,
763316,SUWANNEE COUNTY,61668,61668,54449.27,0,
559336,SUWANNEE COUNTY,72837,72837,128904.59,0,
529747,SUWANNEE COUNTY,161928,161928,130964.13,0,
158617,SUWANNEE COUNTY,240622.2,0,285281.68,0,
318842,SUWANNEE COUNTY,32094.19,0,31693.82,0,
445540,SUWANNEE COUNTY,74144.01,0,66807.9,0,
218472,SUWANNEE COUNTY,1833.95,0,1441.54,0,
907556,SUWANNEE COUNTY,930359.34,0,1148774.22,0,
892361,SUWANNEE COUNTY,1270260.69,0,1122402.35,0,
423598,SUWANNEE COUNTY,265923.32,0,321708.72,0,
314582,SUWANNEE COUNTY,2792753.33,0,3835344,0,
337568,SUWANNEE COUNTY,1931904.47,0,1483030.33,0,
511988,SUWANNEE COUNTY,308888.28,0,354171.3,0,
304879,SUWANNEE COUNTY,308888.28,0,269009.57,0,
208817,SUWANNEE COUNTY,14066.75,0,10934.03,0,
523984,SUWANNEE COUNTY,14066.75,0,12413.21,0,
413066,SUWANNEE COUNTY,1383987.18,0,2371758.21,0,
906786,SUWANNEE COUNTY,7260.26,0,8806.41,0,
753041,SUWANNEE COUNTY,78741.16,0,104037.54,0,
366151,SUWANNEE COUNTY,1669180.2,0,2377630.35,0,
578715,SUWANNEE COUNTY,97105.99,0,77444.45,0,
147189,SUWANNEE COUNTY,385701.35,0,581398.49,0,
840720,SUWANNEE COUNTY,163355.86,0,205674.83,0,
814705,SUWANNEE COUNTY,138384.12,0,110866.44,0,
640263,SUWANNEE COUNTY,125693.56,0,179457.22,0,
267816,SUWANNEE COUNTY,98996.02,0,123152.73,0,
866801,SUWANNEE COUNTY,140282.99,0,137794.37,0,
995558,SUWANNEE COUNTY,220188.18,0,199346.49,0,
334208,SUWANNEE COUNTY,220188.18,0,171988.99,0,
335613,SUWANNEE COUNTY,135793.93,0,112373.28,0,
645424,SUWANNEE COUNTY,220188.18,0,315327.09,0,
924430,SUWANNEE COUNTY,135793.93,0,172195.4,0,
379599,CLAY COUNTY,2175765.3,2175765.3,2915525.5,0,
147622,CLAY COUNTY,11160000,11160000,12600000,0,
936914,CLAY COUNTY,57600,57600,93768.19,0,
162509,CLAY COUNTY,111600,111600,89661.45,0,
559033,CLAY COUNTY,9180,9180,11037.3,0,
945341,CLAY COUNTY,1434992.47,0,1515616.08,0,
859902,CLAY COUNTY,638012.84,0,621929.81,0,
235747,CLAY COUNTY,28869.12,0,28540.7,0,
956443,CLAY COUNTY,56135.64,0,67511.87,0,
608556,CLAY COUNTY,56135.64,0,64188.3,0,
908461,CLAY COUNTY,56135.64,0,50043.8,0,
332105,CLAY COUNTY,56135.64,0,82998,0,
700665,CLAY COUNTY,80192.49,0,115903.01,0,
903047,CLAY COUNTY,24057.97,0,22554.49,0,
758257,CLAY COUNTY,56135.64,0,71824.88,0,
542261,CLAY COUNTY,48115.94,0,55496.25,0,
547808,CLAY COUNTY,24057.97,0,32434.96,0,
620151,CLAY COUNTY,24057.97,0,21565.57,0,
285805,CLAY COUNTY,80192.49,0,90722.65,0,
218058,CLAY COUNTY,14310000,0,22950000,0,
583791,CLAY COUNTY,192789.23,0,240863.15,0,
622218,CLAY COUNTY,2419079.14,0,2693973.61,0,
330603,CLAY COUNTY,14589.43,0,10937.7,0,
325580,CLAY COUNTY,280565.98,0,346779.55,0,
537551,CLAY COUNTY,168339.59,0,200837.38,0,
307610,CLAY COUNTY,145894.31,0,203435.9,0,
479633,CLAY COUNTY,101003.75,0,93174.75,0,
251498,CLAY COUNTY,31423.39,0,43353.72,0,
430162,CLAY COUNTY,28056.6,0,28632.04,0,
137773,CLAY COUNTY,33667.92,0,41164.08,0,
818305,CLAY COUNTY,391052.86,0,404205.53,0,
335686,CLAY COUNTY,85545.69,0,81556.52,0,
131859,CLAY COUNTY,817622,0,1049473.44,0,
496689,CLAY COUNTY,20200.75,0,31354.96,0,
189496,CLAY COUNTY,484818.01,0,624602.68,0,
152055,CLAY COUNTY,21323.01,0,33506.98,0,
346222,LAFAYETTE COUNTY,137358,137358,198268.31,0,
865575,LAFAYETTE COUNTY,2773.98,0,4121.29,0,
908304,LAFAYETTE COUNTY,4806,4806,5921.72,0,
616507,LAFAYETTE COUNTY,1800,1800,1703.46,36,
542565,LAFAYETTE COUNTY,630,630,626.15,12.6,
716343,LAFAYETTE COUNTY,270,270,396.9,5.4,
869527,LAFAYETTE COUNTY,270,270,409.46,5.4,
525660,LAFAYETTE COUNTY,630,630,528.66,12.6,
345892,LAFAYETTE COUNTY,810,810,633.05,16.2,
710139,LAFAYETTE COUNTY,100890,100890,183753.98,2017.8,
384442,LAFAYETTE COUNTY,621306,621306,596751.99,0,
300150,LAFAYETTE COUNTY,630315,630315,448815.8,12606.3,
374411,LAFAYETTE COUNTY,165510,165510,202077.78,3310.2,
735405,LAFAYETTE COUNTY,1350,1350,1778.11,27,
188892,LAFAYETTE COUNTY,1350,1350,1722.78,27,
320338,LAFAYETTE COUNTY,6687,6687,8916.45,0,
167317,LAFAYETTE COUNTY,3600,3600,6629.92,72,
873593,LAFAYETTE COUNTY,4950,4950,6181.05,99,
122734,LAFAYETTE COUNTY,6750,6750,10024.56,135,
855783,LAFAYETTE COUNTY,8730,8730,12734.15,174.6,
536577,LAFAYETTE COUNTY,7290,7290,5723.13,145.8,
300562,LAFAYETTE COUNTY,644667.3,644667.3,865937.75,0,
758060,LAFAYETTE COUNTY,400446,400446,601365.78,0,
861565,LAFAYETTE COUNTY,979389,979389,999074.72,0,
428588,LAFAYETTE COUNTY,7290,7290,9312.29,145.8,
779587,LAFAYETTE COUNTY,13698,13698,11265.14,0,
983194,LAFAYETTE COUNTY,9270,9270,13406.92,185.4,
116416,LAFAYETTE COUNTY,16686.68,0,23178.2,0,
473317,LAFAYETTE COUNTY,478171.89,0,539836.94,0,
464379,LAFAYETTE COUNTY,263732.02,0,225245.61,0,
964532,LAFAYETTE COUNTY,2888.71,0,4492.52,0,
243580,LAFAYETTE COUNTY,28881.46,0,32148.56,0,
464273,LAFAYETTE COUNTY,17800.23,0,28708.21,0,
583948,LAFAYETTE COUNTY,369572.73,0,535138.35,0,
868179,CLAY COUNTY,255420,255420,441715.69,0,
825334,CLAY COUNTY,68391,68391,75344.45,0,
426369,CLAY COUNTY,232089.66,0,248614.44,0,
740683,CLAY COUNTY,487431,0,585121.92,0,
443137,CLAY COUNTY,519750,519750,858852.57,25987.5,
515429,CLAY COUNTY,714435.95,0,1091029.43,0,
967565,CLAY COUNTY,835969.55,0,780380.92,0,
650875,CLAY COUNTY,3163525.96,0,3865825.55,0,
413953,CLAY COUNTY,28869.12,0,37841,0,
228299,CLAY COUNTY,60946.79,0,89079.82,0,
772804,CLAY COUNTY,1924626.49,0,2724693.72,0,
533299,CLAY COUNTY,252172.7,0,221584.15,0,
205704,CLAY COUNTY,48462.72,0,58258.49,0,
371665,CLAY COUNTY,8978.11,0,9940.79,0,
110888,CLAY COUNTY,409783.44,0,354257.79,0,
482716,BAKER COUNTY,218475,218475,296798.29,0,
268570,BAKER COUNTY,78672.59,0,101150.37,0,
498729,CLAY COUNTY,9377.1,9377.1,12533.51,0,
128894,CLAY COUNTY,520973.65,0,907861.19,0,
321346,CLAY COUNTY,520973.65,0,514011.88,0,
370644,CLAY COUNTY,520973.65,0,869296.64,0,
201089,CLAY COUNTY,520973.65,0,418112.62,0,
558007,CLAY COUNTY,549103.15,0,801333.68,0,
527643,CLAY COUNTY,549103.15,0,615187.71,0,
893113,CLAY COUNTY,1430834.4,1430834.4,1835036.53,0,
665536,CLAY COUNTY,301320,301320,334103.62,0,
280674,CLAY COUNTY,121950,121950,189305.42,0,
113250,CLAY COUNTY,41130,41130,43634.98,0,
449510,CLAY COUNTY,825721.38,0,1167570.03,0,
491496,CLAY COUNTY,825721.38,0,858163.97,0,
399722,CLAY COUNTY,595161,595161,579353.52,0,
284335,CLAY COUNTY,1763384.4,0,2768823.86,0,
939217,CLAY COUNTY,55003.3,0,53780.03,0,
851500,CLAY COUNTY,116882.02,0,115460.74,0,
911054,CLAY COUNTY,170510.24,0,168595.07,0,
998798,CLAY COUNTY,22918.04,0,27908.4,0,
183291,CLAY COUNTY,19251.16,0,16466.67,0,
614159,CLAY COUNTY,916.72,0,1435.17,0,
549388,CLAY COUNTY,9167.22,0,11377.32,0,
903839,CLAY COUNTY,4583.61,0,6529.99,0,
758694,CLAY COUNTY,91672.17,0,79248.67,0,
310500,CLAY COUNTY,506981.65,0,815039.92,0,
686067,CLAY COUNTY,366688.7,0,261217.29,0,
960864,CLAY COUNTY,192511.57,0,280797.37,0,
596039,CLAY COUNTY,38502.31,0,39192.51,0,
655727,CLAY COUNTY,68754.13,0,101921.12,0,
625673,CLAY COUNTY,146675.48,0,201356.1,0,
745529,CLAY COUNTY,114590.22,0,193812.39,0,
901277,CLAY COUNTY,458360.87,0,746211.5,0,
555955,CLAY COUNTY,354825,354825,517395.53,0,
447682,CLAY COUNTY,125233.2,125233.2,149904.14,0,
828195,CLAY COUNTY,678705.08,0,616576.41,0,
327231,CLAY COUNTY,1700649.1,0,2552555.25,0,
480677,CLAY COUNTY,144346.71,0,140002.3,0,
162340,CLAY COUNTY,24057.97,0,27217.07,0,
823110,CLAY COUNTY,28869.12,0,34879.55,0,
615055,CLAY COUNTY,56135.64,0,52998.33,0,
599636,CLAY COUNTY,56135.64,0,55895.1,0,
801148,CLAY COUNTY,99439.32,0,116522.99,0,
787827,CLAY COUNTY,641542.16,0,984780.05,0,
829730,CLAY COUNTY,14400000,0,12330000,0,
780380,CLAY COUNTY,2485482.37,0,4147275.88,0,
575231,CLAY COUNTY,436526.99,0,490051.75,0,
132961,CLAY COUNTY,5499407.39,0,4588881.51,0,
451133,CLAY COUNTY,39279.24,0,35841.32,0,
516626,CLAY COUNTY,3193.31,0,4390.91,0,
884768,ST  JOHNS COUNTY,813700.8,813700.8,1246690.52,0,
758210,ST  JOHNS COUNTY,7647876,7647876,10800000,0,
805642,ST  JOHNS COUNTY,1026,1026,1071.49,0,
